ref_id,source_type,source_num,RA,DEC,W1mag,W2mag,W3mag,W4mag,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag,Hmag,Kmag,W12,W23,W34,bp_rp_mag,JHmag,HKmag,RJ,KW1
689,RSG,0,287.10295,7.90055667,4.399,4.26,4.342,2.52,9.593815,11.47264,8.330814,6.081,5.074,4.633,0.139,-0.082,1.822,3.141826,1.007,0.441,2.249814,0.234
690,RSG,0,288.237075,26.64497333,5.596,5.488,5.593,5.519,7.819402,8.351463,7.129458,6.257,5.716,5.629,0.108,-0.105,0.074,1.222005,0.541,0.087,0.872458,0.033
691,RSG,0,288.3240083,14.94274833,3.651,3.231,3.723,3.597,6.739339,7.526329,5.875532,4.924,4.141,3.782,0.42,-0.492,0.126,1.650797,0.783,0.359,0.951532,0.131
692,RSG,0,289.0877292,9.65122778,4.035,3.381,3.802,3.449,13.132616,18.471964,11.462342,6.902,5.228,4.433,0.654,-0.421,0.353,7.009622,1.674,0.795,4.560342,0.398
693,RSG,0,289.0972167,9.20095361,4.738,4.225,4.591,4.492,8.561461,9.752934,7.49913,5.861,5.006,4.791,0.513,-0.366,0.099,2.253804,0.855,0.215,1.63813,0.053
694,RSG,0,290.6331458,27.15952167,5.018,4.748,5.026,4.965,7.499014,8.103307,6.753052,5.753,5.198,5.041,0.27,-0.278,0.061,1.350255,0.555,0.157,1.000052,0.023
695,RSG,0,291.6195292,19.89129056,1.709,1.913,2.124,1.947,5.188395,6.103815,4.237346,2.709,1.969,1.795,-0.204,-0.211,0.177,1.866469,0.74,0.174,1.528346,0.086
696,RSG,0,292.2986,17.76771417,4.12,3.733,3.821,3.249,12.203642,16.479105,10.612318,6.723,5.148,4.498,0.387,-0.088,0.572,5.866787,1.575,0.65,3.889318,0.378
699,RSG,0,292.7496458,19.43407,3.896,3.389,3.931,3.812,7.036338,7.870283,6.144697,4.852,4.297,3.969,0.507,-0.542,0.119,1.725586,0.555,0.328,1.292697,0.073
700,RSG,0,292.959625,7.12649944,8.1,8.254,8.08,7.796,11.355175,12.202756,10.457027,9.218,8.471,8.295,-0.154,0.174,0.284,1.745729,0.747,0.176,1.239027,0.195
701,RSG,0,293.7816833,19.00490806,2.578,2.176,2.603,2.512,6.093618,7.087974,5.105162,3.882,3.002,2.824,0.402,-0.427,0.091,1.982812,0.88,0.178,1.223162,0.246
703,RSG,0,294.8555625,16.57109528,0.854,1.737,1.391,1.226,5.406276,6.648214,4.31395,2.138,1.312,0.986,-0.883,0.346,0.165,2.334264,0.826,0.326,2.17595,0.132
704,RSG,0,295.7727042,9.48938139,5.15,5.062,5.159,5.13,7.527904,8.09695,6.810722,5.918,5.356,5.206,0.088,-0.097,0.029,1.286228,0.562,0.15,0.892722,0.056
706,RSG,0,297.0493292,22.76285278,2.452,1.963,2.325,2.09,6.138344,7.304234,5.076523,3.625,2.749,2.418,0.489,-0.362,0.235,2.227711,0.876,0.331,1.451523,-0.034
707,RSG,0,297.5496875,24.9233575,1.076,2.288,-1.106,-1.892,7.082869,9.15958,5.761617,3.253,2.141,1.691,-1.212,3.394,0.786,3.397963,1.112,0.45,2.508617,0.615
708,RSG,0,300.2709167,30.83118,2.705,2.23,1.251,0.566,8.131661,10.173864,6.823319,4.493,3.493,2.932,0.475,0.979,0.685,3.350545,1,0.561,2.330319,0.227
709,RSG,0,300.9659833,21.05040111,2.774,2.341,2.756,2.69,6.504134,7.470691,5.521612,4.171,3.306,2.964,0.433,-0.415,0.066,1.949079,0.865,0.342,1.350612,0.19
710,RSG,0,301.4597417,25.60086472,2.055,1.377,1.197,0.77,6.39301,8.235179,5.097891,3.137,1.997,1.628,0.678,0.18,0.427,3.137288,1.14,0.369,1.960891,-0.427
711,RSG,0,301.6663667,33.24111278,5.102,3.729,2.365,1.003,12.701202,14.329055,11.476727,8.674,7.389,6.272,1.373,1.364,1.362,2.852328,1.285,1.117,2.802727,1.17
712,RSG,0,301.7249542,35.62407194,6.027,6.216,6.044,5.909,10.536835,12.00588,9.368256,7.455,6.526,6.196,-0.189,0.172,0.135,2.637624,0.929,0.33,1.913256,0.169
713,RSG,0,301.8999,36.93069389,4.668,4.628,4.746,4.612,7.853248,8.685679,6.961459,5.692,4.964,4.754,0.04,-0.118,0.134,1.72422,0.728,0.21,1.269459,0.086
715,RSG,0,302.867075,22.0265075,3.98,3.737,3.884,3.611,7.730401,8.826142,6.707206,5.125,4.663,4.087,0.243,-0.147,0.273,2.118936,0.462,0.576,1.582206,0.107
717,RSG,0,303.5986333,36.19098306,4.328,3.989,4.355,4.233,7.427784,8.219572,6.560484,5.311,4.636,4.45,0.339,-0.366,0.122,1.659088,0.675,0.186,1.249484,0.122
720,RSG,0,305.3086042,35.62124667,3.065,1.913,-0.331,-1.089,7.393991,9.858197,6.00054,3.283,2.027,1.623,1.152,2.244,0.758,3.857657,1.256,0.404,2.71754,-1.442
721,RSG,0,305.3411792,36.93212333,0.968,0.094,-2.114,-3.616,6.448724,9.199945,5.018457,2.345,1.143,0.724,0.874,2.208,1.502,4.181488,1.202,0.419,2.673457,-0.244
722,RSG,0,305.3946125,36.61407417,7.112,7.294,7.156,7.16,9.749815,10.401502,8.975732,7.931,7.335,7.189,-0.182,0.138,-0.004,1.42577,0.596,0.146,1.044732,0.077
724,RSG,0,306.0051208,36.22627944,4.638,4.396,4.676,4.622,7.610151,8.382998,6.755734,5.579,4.855,4.664,0.242,-0.28,0.054,1.627264,0.724,0.191,1.176734,0.026
725,RSG,0,306.1824417,37.06233611,4.487,4.123,4.492,4.42,8.007205,8.971396,7.046272,5.589,4.776,4.549,0.364,-0.369,0.072,1.925124,0.813,0.227,1.457272,0.062
727,RSG,0,307.1277167,39.15237278,6.165,6.372,5.789,1.26,8.931358,9.581368,8.159977,7.129,6.514,6.381,-0.207,0.583,4.529,1.421391,0.615,0.133,1.030977,0.216
729,RSG,0,307.86955,40.64537389,2.301,1.664,0.87,0.436,8.793179,11.636201,7.372808,4.603,3.142,2.322,0.637,0.794,0.434,4.263393,1.461,0.82,2.769808,0.021
731,RSG,0,309.9021667,39.20267111,0.683,3.21,-0.323,-1.267,9.972211,14.440928,8.441914,4.697,2.777,1.867,-2.527,3.533,0.944,5.999014,1.92,0.91,3.744914,1.184
732,RSG,0,312.7376958,48.03064167,3.419,3.122,3.382,3.341,6.429348,7.227695,5.555353,4.651,3.898,3.508,0.297,-0.26,0.041,1.672342,0.753,0.39,0.904353,0.089
733,RSG,0,313.9268208,34.0264375,5.278,5.191,5.315,5.27,7.543049,8.072552,6.859228,5.958,5.508,5.356,0.087,-0.124,0.045,1.213324,0.45,0.152,0.901228,0.078
736,RSG,0,315.6007958,44.79095972,3.057,1.794,0.591,0.603,4.950846,6.481261,3.7398,2.268,1.41,1.088,1.263,1.203,-0.012,2.741461,0.858,0.322,1.4718,-1.969
737,RSG,0,315.6463375,48.03071389,2.766,2.155,2.511,2.539,6.125723,7.129099,5.133102,3.724,3.042,2.56,0.611,-0.356,-0.028,1.995997,0.682,0.482,1.409102,-0.206
738,RSG,0,316.2328083,43.92785694,1.403,1.072,0,-0.152,3.063898,4.095944,2.359125,0.982,0.027,-0.038,0.331,1.072,0.152,1.736819,0.955,0.065,1.377125,-1.441
739,RSG,0,316.2400792,47.14698,3.568,3.204,3.621,3.531,7.035515,7.968161,6.087981,4.959,4.089,3.876,0.364,-0.417,0.09,1.88018,0.87,0.213,1.128981,0.308
740,RSG,0,316.2722667,46.54735667,3.685,3.276,3.666,3.54,7.285408,8.305741,6.295511,5.073,4.141,3.694,0.409,-0.39,0.126,2.01023,0.932,0.447,1.222511,0.009
741,RSG,0,316.3991042,46.96324806,3.468,2.874,3.37,3.292,6.871152,7.827513,5.913116,4.868,3.939,3.669,0.594,-0.496,0.078,1.914397,0.929,0.27,1.045116,0.201
742,RSG,0,316.6504292,47.64839528,2.677,2.008,0.965,0.871,3.965598,4.807874,3.092461,1.857,1.128,1.027,0.669,1.043,0.094,1.715413,0.729,0.101,1.235461,-1.65
